112816 263397473.1530
120951 93945 11.5990
125120 103920 11.6280
84539 33684 11.6480
86252 6224 11.6510
81322 11476 11.7320
99028 78661 11.8910
22877 19868 11.9060
56962 77179 11.9290
82131 3684 11.9770
106530 118267 11.9850
117547 117675 12.0090
103450 91019 12.0100
100719 114689 12.0780
64265 59807 12.0880
76575 57526 12.2010
28759 8060 12.3080
30995 35105 12.3180
62494 66244 12.3380
124121 67777 12.3380
39335 117988 12.4130
8229 96078 12.4390
4916 388 12.4450
107778 104393 12.4490
104216 62292 12.5070
116995 113126 12.5250
55156 112627 12.5470
95848 119745 12.6690
2409 37384 12.6920
71837 53978 12.7220
81989 17525 12.7290
74224 12091 12.7330
15181 120791 12.7360
60071 78920 12.7590
123213 18331 12.7720
50992 33928 12.7760
37211 26864 12.8890
59203 28754 12.9500
37716 49812 12.9510
41552 33084 12.9770
32731 97771 13.0060
98598 95477 13.0180
42709 49976 13.0220
115744 121965 13.0550
48711 117530 13.0750
123349 48711 13.1400
121660 117953 13.1620
82272 4533 13.1900
57239 124867 13.2010
82142 63723 13.2710
68568 113946 13.3180
30480 43992 13.3560
14104 35961 13.3590
64552 120416 13.3860
113443 2876 13.5110
39570 45317 13.5580
31756 25418 13.6070
73563 62019 13.6420
98893 45308 13.6590
96678 105572 13.7230
80963 61267 13.7390
5132 96600 13.7800
53605 56563 13.8330
48471 124913 13.8550
45921 28047 13.8620
28698 12838 13.9010
102844 106385 13.9400
24972 70368 13.9450
125370 94157 13.9500
69179 49351 13.9740
60777 94504 13.9940
122987 103472 14.0060
11605 118036 14.0170
2024 10171 14.0230
31130 62977 14.0410
41420 26301 14.0530
96213 114931 14.0630
50387 71610 14.0780
48635 64837 14.0970
28884 95462 14.1040
127721 43116 14.1290
78750 113076 14.1470
16385 44651 14.1530
75290 63553 14.1610
42574 98989 14.2370
77666 26358 14.2670
87091 32575 14.2860
40072 56297 14.3210
36808 61907 14.3830
26951 107665 14.4010
26804 106581 14.4100
124932 22365 14.4220
47587 44374 14.4900
59553 20236 14.5180
49995 111219 14.5220
55743 9406 14.5660
20879 110015 14.5820
57101 17510 14.6100
122073 30353 14.6230
109134 103748 14.6620
10474 3627 14.7230
44207 91458 14.7800
111089 89215 14.8090
20853 71004 14.8380
27628 84182 14.8710
124787 111971 14.8910
126861 71524 14.9040
27234 48144 14.9420
49335 122770 14.9520
128509 85591 14.9770
120421 691 15.0150
86095 24847 15.0380
22835 1610 15.0400
24210 102880 15.0420
74171 20818 15.0710
122801 34104 15.0720
30417 95186 15.0760
20081 4475 15.0990
80992 35786 15.1110
50229 33855 15.1310
4511 87280 15.1620
39541 116586 15.1760
105652 48317 15.1850
42328 33312 15.2130
114124 22068 15.2270
36166 8830 15.2570
88347 25698 15.2580
101208 107160 15.4700
40987 49678 15.4990
5805 89748 15.5340
5955 6785 15.5830
2769 21017 15.6010
7057 21277 15.6410
4765 93875 15.6430
72541 1758 15.6530
11744 71910 15.6710
122095 77058 15.7350
123368 16603 15.7380
85 3664 15.7680
31719 60416 15.8120
40999 109254 15.8840
1981 117648 15.9400
18510 40421 16.0150
103856 22646 16.0460
61767 113988 16.0570
127168 26588 16.0830
12168 101973 16.1570
8276 22340 16.2090
50416 120462 16.2170
46964 125626 16.2290
63988 97906 16.2580
74332 73757 16.2690
75848 38152 16.2870
74463 91083 16.3040
81873 23555 16.3070
44093 93893 16.3500
37381 126982 16.3530
99589 46195 16.3700
88798 107476 16.3720
60864 26157 16.3980
107141 45873 16.4010
111176 69326 16.4170
47394 123113 16.4430
83806 62580 16.4630
87253 127757 16.5230
54000 350 16.5430
72058 53477 16.6060
89579 109931 16.6110
68194 65051 16.6240
22679 27071 16.6600
114468 1831 16.7340
31209 34220 16.7790
5397 79183 16.9130
53954 19192 16.9240
125760 8885 16.9950
111832 113876 16.9960
7171 24478 17.0040
6586 100697 17.0390
3497 2039 17.0410
49863 69367 17.0700
111798 72341 17.0880
122712 39231 17.1130
50388 55504 17.2170
12871 13202 17.2670
36557 79368 17.3300
63181 82717 17.4010
92071 3586 17.4080
74089 125966 17.4170
79591 103239 17.4580
116946 115912 17.4770
115966 113790 17.5440
4174 2337 17.5560
46891 116930 17.5740
108427 55945 17.6130
22454 23002 17.6430
71005 89964 17.6510
107068 44501 17.6560
75457 102595 17.6670
22507 38369 17.7230
7968 73769 17.7300
11335 119076 17.7310
83608 40404 17.7460
42477 118667 17.7470
75978 93129 17.7570
112638 88818 17.8240
61347 69275 17.8440
58388 101292 17.8720
11692 92991 17.8880
55701 102851 17.8890
110664 121026 17.9470
49338 59248 17.9910
60100 47257 18.0300
40086 11697 18.0500
37635 77039 18.0620
24478 676 18.1500
9107 109028 18.1530
109103 97295 18.1540
70227 73741 18.2640
44330 82811 18.2930
45551 29941 18.3080
128433 45834 18.4070
72131 65706 18.4120
50764 37273 18.4870
88750 12665 18.5070
22695 90489 18.5410
57303 47241 18.5470
116232 105206 18.5800
96101 29890 18.5850
103047 15829 18.6310
100934 3846 18.7660
71053 33048 18.7700
10997 77258 18.8430
10169 63648 18.9440
105030 36821 18.9970
122549 82973 19.0280
49498 62059 19.1310
29952 18970 19.1840
26728 23354 19.2010
24873 63481 19.2040
22243 114884 19.2310
84618 33440 19.2690
219 25957 19.2820
77654 37219 19.3430
60117 116210 19.3850
83552 119579 19.4070
15200 112348 19.4080
125029 19203 19.4200
67728 78601 19.4290
46780 117805 19.4380
51492 68428 19.4470
20369 82064 19.4550
63511 36599 19.5000
46177 101561 19.5040
9772 83764 19.5080
10731 79654 19.5330
57331 52880 19.5370
108048 94570 19.5420
80636 24983 19.5770
76606 39566 19.5780
66596 62465 19.6000
73545 39921 19.6310
109956 19170 19.6490
89616 115360 19.6720
82800 122472 19.6830
38645 106892 19.7080
26370 27926 19.7200
69697 18398 19.7280
24374 39752 19.7280
45301 73952 19.7760
123013 76132 19.8190
17774 108900 19.8710
7253 81150 19.9160
87386 30592 19.9220
47952 123046 19.9260
103864 104080 19.9300
121387 40191 19.9470
61489 68712 20.0180
62937 49391 20.0340
93806 4179 20.0520
17879 92526 20.1910
68984 50476 20.3130
34384 69147 20.3400
31918 102666 20.3950
67455 70589 20.4040
116067 7666 20.4260
106181 73575 20.4380
107603 6531 20.4630
83427 88953 20.5110
21507 30313 20.5240
40101 4335 20.5520
18592 68875 20.5960
2126 110812 20.6180
103907 55966 20.6180
104696 114098 20.6870
104454 102230 20.6900
479 40037 20.7420
118999 82437 20.7440
106573 91459 20.7640
72896 82492 20.8540
14009 118364 20.8630
31867 19604 20.8790
56742 60527 20.9070
66647 93312 20.9430
33221 18935 20.9450
126688 14542 20.9730
118748 84540 20.9850
91132 65404 21.0190
16277 94547 21.0220
106266 75029 21.0430
55871 90077 21.0800
44176 89573 21.1300
118103 72224 21.1440
121092 119164 21.2030
32273 47765 21.2360
51702 25725 21.3120
83054 28383 21.3540
19969 13749 21.3570
20096 94722 21.3890
28632 54625 21.4150
22655 31907 21.5060
119484 86400 21.5460
10977 12732 21.5780
117354 47069 21.6900
66121 79336 21.7330
5804 83254 21.7880
54334 94475 21.8310
119591 51928 21.8580
33135 116238 21.8890
91428 102556 21.9130
17719 99055 21.9180
43716 96263 21.9430
73629 25707 21.9830
116336 95369 21.9960
86336 16647 22.0380
68609 117069 22.0540
77763 49937 22.0610
108235 114072 22.0990
16615 96888 22.1200
114647 104181 22.1280
98626 24370 22.1470
83222 42823 22.1800
30697 65829 22.1960
25771 12990 22.1980
119462 62725 22.2000
84757 114137 22.2240
116400 39861 22.2800
61843 115877 22.3010
68793 14117 22.3220
90531 89434 22.4320
34590 53267 22.4370
28152 64826 22.4690
100957 61767 22.5400
107097 48817 22.5550
67154 44629 22.5680
45158 107087 22.6180
76505 83319 22.6580
91276 6263 22.6710
8502 121525 22.7330
43273 25863 22.8970
112950 101208 22.9140
5526 127394 22.9160
75837 76931 22.9350
18854 50392 22.9860
11953 74966 22.9890
109921 78856 23.1180
18570 8016 23.1380
47062 48678 23.1780
128286 20931 23.1920
120436 11197 23.2310
62436 7107 23.2540
13943 127814 23.2550
106820 62062 23.2690
11392 31141 23.2730
120716 388 23.3640
100681 101086 23.3910
54643 9576 23.4840
63919 76235 23.5550
27948 95241 23.5730
5704 32199 23.5790
35162 68639 23.5860
31699 116676 23.6080
50776 52859 23.6560
104939 34673 23.6720
70555 9367 23.6830
91935 57260 23.6980
39288 71942 23.7810
66601 17483 23.8110
18449 35031 23.8170
20710 122294 23.8170
2406 53823 23.8270
39129 90988 23.8310
70503 23527 23.8380
92966 30505 23.8760
67754 39738 23.9010
45670 19501 23.9310
93019 92315 23.9400
52838 85978 23.9930
127509 14559 24.0340
7079 2708 24.0470
86927 116328 24.0600
47145 70773 24.0870
40685 118964 24.1520
48619 84401 24.1530
31871 35309 24.2010
21123 20669 24.2140
34246 127473 24.2210
127305 36988 24.2980
62921 2151 24.3630
50868 94375 24.3860
62096 2960 24.4120
87967 56286 24.4150
105244 10160 24.4620
8814 117900 24.4750
55342 19648 24.4750
77320 117999 24.5180
81827 118892 24.5670
124661 53366 24.5920
121175 52544 24.5930
81394 26479 24.5970
68951 7746 24.6000
91946 6 24.6170
16917 113203 24.6310
76180 88733 24.6920
39436 40563 24.6950
84487 72292 24.7220
109716 39629 24.7250
70782 103599 24.7430
70456 28870 24.7800
56601 46321 24.8270
69615 10212 24.8740
92650 42197 24.8850
93067 91566 24.8920
64787 51364 24.9080
75222 114819 24.9350
69197 5435 24.9510
41778 126397 24.9630
28919 45689 24.9780
49006 32035 25.0540
11598 125380 25.0800
122651 60549 25.1670
107558 61953 25.2130
94916 47783 25.2650
85438 4761 25.3160
62334 70434 25.3180
125052 12000 25.3220
5973 37793 25.3230
27888 73771 25.3900
63161 54687 25.4120
86603 80238 25.4260
38739 83960 25.4390
40353 87673 25.4470
123457 77119 25.4980
16951 119767 25.5400
49075 39745 25.5490
105201 28368 25.5850
94984 59397 25.5930
127202 38122 25.6480
79092 84098 25.6530
75784 60264 25.7170
16298 41272 25.7550
74210 23914 25.7600
17559 60688 25.8480
12530 113203 25.8670
83926 127478 25.9270
45212 11721 25.9380
47158 93118 25.9390
124058 77111 25.9860
119676 50902 26.0170
40523 27465 26.0320
118514 102860 26.0650
68716 101366 26.0920
116612 87422 26.1440
55709 122117 26.1640
115986 48220 26.1710
120232 90280 26.2830
112155 25678 26.3030
61008 96974 26.3140
31132 101641 26.4000
46694 71332 26.4040
107538 81977 26.4230
114048 43449 26.4770
48515 103171 26.4870
122211 22540 26.5030
89825 94906 26.5050
29580 55684 26.5190
15467 63777 26.5210
18425 86603 26.5420
121688 61828 26.5560
4819 102672 26.5630
468 70248 26.5750
10281 83630 26.6060
27901 120004 26.7280
38577 30027 26.7660
40529 89875 26.7690
22729 22942 26.8060
30672 106972 26.8200
25619 59902 26.8750
26547 94335 26.8840
43802 122796 26.8950
22862 101251 26.9450
45831 74699 26.9610
119408 24179 26.9850
57660 10105 27.0380
39066 83978 27.0620
88908 119370 27.0690
65550 23174 27.0720
58427 86171 27.0760
111004 107204 27.0760
110316 6872 27.1360
123389 1717 27.1620
113510 72405 27.2100
34709 62611 27.2160
38798 86763 27.2260
89443 82727 27.2470
88357 124847 27.3050
64530 109703 27.3220
39563 7871 27.3370
52333 10940 27.3370
104252 42989 27.3390
44015 32399 27.3790
88349 52014 27.3940
217 17743 27.4320
122045 122113 27.4420
22309 16388 27.5130
108170 90718 27.5380
41712 68141 27.5830
74078 116603 27.6060
32212 119444 27.6420
47496 46490 27.6780
61039 59399 27.7210
80702 87526 27.7410
117131 98403 27.7550
105606 92872 27.7670
73424 2360 27.7710
19869 98368 27.7960
74828 50447 27.8520
26055 100377 27.9750
72667 21473 27.9900
81916 127239 28.0050
78998 85082 28.0110
25425 44764 28.0200
73668 83599 28.0210
39329 124447 28.0680
108792 52160 28.0880
25227 34020 28.1240
31006 93223 28.1270
24927 66613 28.1800
54508 57544 28.1970
12940 1041 28.2530
126151 16190 28.2780
24209 72923 28.3100
46123 65415 28.3470
112844 10010 28.3780
97195 65082 28.4570
68580 74721 28.4640
80515 93373 28.5180
78087 107426 28.5420
93440 50213 28.5820
92674 116166 28.6000
83242 96806 28.6130
40821 62970 28.6850
42269 60984 28.7330
25568 57094 28.7540
95148 47643 28.7620
52651 81010 28.7640
76894 42327 28.7740
68789 54458 28.7740
110129 100133 28.7750
30176 110908 28.8360
3986 26494 28.8670
108565 25456 28.8780
33092 37895 28.9430
72865 97911 28.9480
73221 50783 28.9890
81807 96908 29.0180
120289 88041 29.0420
60019 69494 29.0590
54633 92843 29.0760
5702 109243 29.0850
91272 2367 29.1030
40309 125368 29.1240
122872 83695 29.1540
5157 72425 29.1690
118099 92226 29.1920
68133 128616 29.2600
36761 105974 29.2610
79100 69636 29.2640
31498 69274 29.3220
84693 13406 29.3390
36664 6728 29.3400
74391 78287 29.3520
101469 978 29.3800
109592 109726 29.4090
97400 43104 29.5380
98331 55148 29.5430
61720 115163 29.5870
106763 45049 29.6400
85075 99147 29.6590
29692 57775 29.6610
32751 41169 29.6760
56475 79037 29.6800
4071 56025 29.6980
110179 56004 29.7340
116440 93285 29.7410
42034 56672 29.7590
56426 95796 29.7980
99580 13038 29.8260
20801 4093 29.8650
28500 613 29.9130
34266 124194 29.9170
20306 63696 29.9380
21111 9714 29.9640
20656 44188 30.0360
66798 101563 30.0380
66871 27149 30.0930
24439 4569 30.2680
97462 118851 30.3060
13936 96802 30.3640
110225 43810 30.4010
42998 44275 30.4050
14226 31319 30.4390
71742 39734 30.4780
70891 108448 30.4920
43729 73915 30.6410
36752 62317 30.6900
32326 65275 30.8850
11787 121063 30.9010
67039 114225 30.9250
18576 20520 30.9770
33374 123824 31.0190
16459 12659 31.0690
119910 76999 31.1170
125105 107397 31.1520
4162 118765 31.1770
90798 14415 31.2130
124171 37139 31.2200
48212 55038 31.2240
71936 44189 31.2380
101627 49576 31.2400
115192 27332 31.2560
8876 44560 31.2660
112484 94682 31.2960
46234 14542 31.3380
26300 47447 31.3630
22435 63266 31.3660
21735 36178 31.3830
30169 106950 31.3970
121401 107781 31.4370
121295 60300 31.4680
39561 121190 31.4910
65349 99552 31.5220
113929 53441 31.5860
114941 122736 31.6780
127176 32910 31.7110
28952 15670 31.7720
8517 14009 31.7980
76114 77692 31.8000
96048 93477 31.8480
127189 112172 31.8990
71251 124321 31.9040
98853 64088 31.9470
123759 88923 31.9580
78604 27344 31.9600
82069 36263 31.9610
40346 74973 31.9750
113930 37267 31.9850
125131 128116 32.0040
76760 91779 32.0960
83656 47187 32.1820
89632 19182 32.2390
91677 125826 32.2510
20757 7891 32.4000
30118 99414 32.4330
84642 74760 32.4880
99009 17871 32.5080
78391 103068 32.5250
6254 128592 32.6220
68133 6207 32.6230
72890 121930 32.7500
33080 87977 32.7700
12178 81854 32.7750
106635 74507 32.7920
44650 63803 32.7930
14515 80792 32.8260
99885 82118 32.8380
13541 91858 32.8510
67164 89674 32.8540
86225 80478 32.9070
85367 98730 32.9310
50703 110401 32.9610
90535 61095 32.9810
86204 75286 33.0000
31391 10850 33.0130
98731 95299 33.0430
63370 52041 33.0660
61751 118119 33.1100
104456 112172 33.2120
40623 36286 33.2210
24118 84976 33.2330
57975 120480 33.2640
128944 2285 33.2930
115357 118287 33.3120
16862 84103 33.3500
34277 90901 33.4080
95121 122300 33.4540
85016 92038 33.4710
89741 117339 33.4710
34953 84225 33.5230
86233 97957 33.5330
56583 7644 33.5390
66436 710 33.6050
102311 126366 33.6530
75378 99989 33.6580
5758 116523 33.7300
127929 44955 33.7450
27566 34992 33.7590
99109 68922 33.8860
13482 3149 33.9070
33067 64038 33.9190
56446 58817 33.9410
25654 14502 33.9440
9573 43453 33.9760
37398 80203 34.0170
36524 104596 34.0440
110606 48232 34.0720
6417 85232 34.1120
18817 14372 34.1340
118944 67722 34.1420
49168 117536 34.1520
12075 84554 34.1570
52686 24488 34.1950
110137 126831 34.2170
21475 726 34.2770
22872 56186 34.3070
58763 102909 34.3460
68751 102242 34.4540
111582 126040 34.4920
35180 58042 34.4970
47274 17039 34.5070
109513 61344 34.5200
59193 20203 34.5340
68867 56880 34.5490
21884 92411 34.5530
32689 27855 34.5670
8699 116636 34.6140
100942 51389 34.6330
47851 38711 34.6460
42437 32515 34.6700
102788 122196 34.7200
110616 27 34.7920
15420 125808 34.8110
83947 113265 34.8340
65383 58772 34.8390
34117 43548 34.9230
63368 19372 34.9550
43625 511 34.9640
109891 2946 34.9880
6745 5373 35.0660
31986 108295 35.0720
28177 69623 35.0830
90356 19169 35.1090
38026 18659 35.1100
6609 106929 35.1180
77910 51443 35.1460
4495 126205 35.1920
41414 68140 35.1950
5253 126558 35.2140
117469 87286 35.2720
116970 64874 35.2870
121746 39301 35.3430
113827 39614 35.4410
85801 41290 35.4490
24064 108388 35.4510
98165 32718 35.5150
120023 28479 35.5490
48914 39616 35.5660
27765 6573 35.5750
26708 123861 35.5810
50249 82307 35.5950
93160 16229 35.6460
26289 16420 35.7340
21874 77658 35.7410
104646 26787 35.7430
24308 126068 35.7820
114638 119270 35.8040
43082 14346 35.8280
34360 10668 35.8290
10508 52133 35.8440
75590 96761 35.8850
49319 59588 35.9040
108801 5485 35.9290
31854 47850 35.9650
114758 26219 35.9690
252 103398 35.9860
120761 73419 36.0410
22606 105364 36.0800
43870 18280 36.2080
59464 10249 36.2660
105749 124314 36.3400
57625 902 36.3950
34550 83723 36.4020
13836 122980 36.4250
86106 91180 36.4490
81101 36616 36.4840
44572 77458 36.4870
60610 51701 36.5400
105305 53733 36.5480
99171 50598 36.5630
103757 104382 36.5910
97290 76729 36.6470
124728 38555 36.6770
124516 22953 36.6830
68638 21538 36.7940
76411 60756 36.8030
49590 88408 36.8160
67237 49453 36.8300
26422 104759 36.8810
15607 5245 36.8880
127174 34988 36.9320
61037 16369 36.9380
32481 30454 36.9380
122670 3524 36.9460
81078 61503 37.0150
116610 13269 37.0480
120671 95715 37.1470
7261 71548 37.1800
41287 106277 37.2360
39414 89606 37.2420
109143 33588 37.2870
8572 128676 37.2890
31402 67122 37.2940
23400 122468 37.3040
76333 117971 37.3190
116552 113720 37.3700
22835 84004 37.4050
21603 78858 37.4270
73273 80504 37.4490
88997 67661 37.4540
95989 37431 37.4760
100603 3561 37.5140
27285 123518 37.5330
36727 79336 37.5550
75428 43985 37.6260
1040 92965 37.6650
62537 15181 37.6820
105676 25922 37.6980
21070 31959 37.7090
16473 127441 37.7320
63194 101279 37.8020
100745 19999 37.8220
108785 104199 37.8250
60834 97450 37.8280
65128 26835 37.9190
103674 68770 37.9790
46111 97923 37.9810
20506 103392 37.9860
73391 54463 37.9960
116112 114976 38.0270
45453 3679 38.0720
44095 47240 38.0840
17197 18980 38.0950
123229 87265 38.1320
37911 86913 38.1970
72884 28116 38.2220
45735 47198 38.2380
11216 61150 38.2830
81653 67882 38.3310
8741 81778 38.3590
15568 63804 38.3650
99687 15925 38.3890
112407 39578 38.4090
59739 111916 38.4750
74436 77069 38.5020
67907 47697 38.5340
23293 19053 38.5460
117885 58243 38.5610
111533 66620 38.5730
83368 49986 38.6270
91516 109263 38.6290
78166 111645 38.6740
31448 5530 38.7150
113317 15660 38.7250
47173 6182 38.7880
39600 7144 38.7920
51111 39990 38.8960
117135 9075 38.9420
28284 91565 38.9530
53750 66856 38.9690
79844 8442 38.9880
110098 94465 39.0170
18050 103462 39.0520
24674 72770 39.1280
119455 43495 39.1300
127710 58865 39.1340
29742 24071 39.1710
97547 91645 39.1960
26246 63244 39.1970
40080 8838 39.2120
103699 79435 39.2520
77955 60361 39.2530
37232 39171 39.3050
2575 91092 39.3100
50694 66058 39.3340
64189 30367 39.3620
67600 43824 39.3740
93498 26233 39.3950
94592 39416 39.4580
111688 111645 39.4680
111692 93440 39.4780
118986 41520 39.4820
109281 119939 39.5190
41777 92635 39.5370
59363 128065 39.5460
